A,B,C,D,E,F
79,60,55,81,85,57
59,81,55,66,68,77
64,85,55,78,60,64
71,56,55,71,79,62
67,70,55,63,84,78
73,57,55,63,57,78
70,66,55,79,61,55
73,66,55,77,67,80
69,58,55,58,76,73
70,57,56,75,56,79
58,60,56,72,80,67
70,67,56,59,77,67
76,83,56,60,56,85
83,80,56,64,74,75
85,69,56,58,68,58
72,69,56,55,61,58
55,69,57,76,59,82
56,74,57,77,72,66
63,83,57,84,71,60
80,74,57,58,56,67
75,81,57,82,60,60
63,84,57,71,83,70
59,81,58,80,78,63
58,73,58,61,78,84
62,74,58,77,58,55
65,71,58,74,62,80
71,66,58,58,66,56
75,70,58,81,62,80
59,73,58,66,83,67
72,56,58,63,71,69
59,66,59,83,58,65
76,72,59,68,81,76
72,60,59,73,83,84
60,62,60,58,69,84
62,65,60,83,71,58
61,74,60,70,68,84
81,64,60,69,69,75
58,65,60,59,79,71
82,73,60,67,60,79
60,80,61,62,60,71
84,69,61,65,85,56
80,66,61,67,74,79
71,84,61,66,81,79
77,74,62,78,65,60
67,58,62,66,84,56
60,61,62,72,57,77
66,66,63,75,81,71
62,57,63,68,73,75
81,75,63,61,67,68
77,72,63,81,84,67
67,78,63,68,70,85
76,84,63,73,78,71
73,55,63,56,62,83
72,85,63,62,69,81
68,85,64,57,59,67
75,78,64,60,66,58
67,66,65,66,66,64
73,73,65,84,60,70
57,84,65,72,60,81
74,57,65,78,61,58
68,84,65,79,79,81
64,67,65,72,71,79
83,75,66,76,74,74
69,61,66,79,82,83
77,58,66,78,67,71
70,79,66,68,69,68
77,70,66,77,77,79
79,74,66,79,64,72
66,66,66,70,60,65
78,82,66,67,56,74
80,71,66,64,55,60
64,76,66,55,77,65
76,68,67,85,57,69
71,75,67,58,60,64
56,76,67,79,58,74
57,82,67,82,77,77
69,61,67,59,71,84
68,85,67,63,78,61
65,80,67,65,56,63
67,76,67,58,66,68
85,56,67,77,79,70
79,83,68,64,63,73
80,70,68,71,56,78
56,85,69,61,84,72
57,56,69,75,70,80
77,82,69,55,69,77
80,73,69,73,81,66
69,72,69,60,82,58
85,57,69,67,81,63
82,64,69,63,71,58
69,60,69,61,69,62
74,57,69,80,79,67
85,81,69,75,82,66
64,67,70,60,74,63
63,64,70,76,55,60
68,83,70,55,77,82
64,55,70,59,83,71
80,83,70,78,57,62
84,78,70,62,76,67
66,81,70,60,57,83
56,59,70,66,58,72
62,82,70,75,77,63
73,82,71,71,62,81
76,78,71,75,56,59
70,74,71,76,63,72
77,81,71,81,78,81
71,77,71,81,74,71
82,68,72,77,76,59
66,79,72,79,71,74
77,70,72,72,72,67
65,70,72,57,67,59
84,65,72,68,82,55
58,68,72,62,78,55
66,57,72,69,85,67
81,78,73,70,68,58
70,70,73,79,69,76
65,74,73,75,70,74
61,67,73,66,71,63
62,81,73,82,65,58
66,79,74,67,65,70
83,71,74,58,56,55
69,77,74,57,70,73
84,73,74,71,83,61
80,83,75,64,84,59
81,67,75,70,65,82
71,74,75,66,85,59
66,83,76,72,61,71
73,57,76,82,78,63
79,60,76,58,79,59
83,56,76,57,81,74
56,62,76,56,80,57
65,60,77,65,59,64
63,84,77,76,61,62
77,65,77,78,80,74
56,81,77,80,81,82
82,68,77,77,70,73
68,79,78,81,59,67
58,60,78,68,57,85
73,67,78,55,83,74
78,69,78,61,78,62
74,66,78,81,77,84
63,73,78,85,74,74
58,62,78,81,77,59
79,64,78,56,73,67
67,75,78,59,70,81
55,57,78,71,68,83
65,60,78,77,57,66
59,76,79,83,64,63
83,59,79,80,61,71
66,57,79,59,63,72
61,67,79,58,64,66
78,62,79,55,81,72
59,83,79,56,59,55
71,72,79,58,73,58
58,66,80,84,73,61
64,57,80,56,66,83
80,82,80,83,85,83
67,60,80,75,82,67
61,79,80,82,70,58
68,78,80,63,57,67
69,71,80,62,80,76
72,67,80,65,83,55
84,67,80,73,57,83
55,77,80,76,76,83
84,79,81,65,85,69
81,57,81,80,70,55
61,69,81,81,69,81
67,73,81,72,57,78
59,72,81,83,83,60
67,56,81,81,61,56
56,84,81,64,56,75
71,68,81,76,65,62
62,58,82,76,83,73
70,80,82,61,84,63
60,66,82,81,76,73
64,76,82,72,75,82
65,64,82,66,59,74
56,56,82,82,68,68
83,67,82,57,78,78
84,77,83,58,80,80
59,75,83,76,72,55
68,64,83,69,73,80
85,72,83,69,72,65
67,76,83,73,82,83
78,80,83,56,63,63
79,69,83,60,72,66
63,59,83,71,57,76
75,61,83,69,78,64
67,76,84,72,85,84
83,65,84,81,74,63
81,63,84,66,65,62
74,83,84,82,55,84
56,72,84,77,84,66
61,61,84,72,82,63
74,77,84,80,56,79
68,72,85,64,65,73
82,80,85,80,58,56
77,60,85,55,58,58
79,70,85,80,70,75
82,64,85,63,67,83
